m_N,y,sin2_2theta,omega_h2_scan,omega_h2,converged,retcode,lambda_fs_Mpc,lambda_fs_eq_Mpc,lambda_fs_free_Mpc,v_end,x_kd,lambda_fs_kd_Mpc,r_s_Mpc,x_kd3,lambda_fs_kd3_Mpc,r_s3_Mpc,x_kd_old,lambda_fs_kd_old_Mpc,r_s_old_Mpc
1.011e-6,0.01778,1.1668372814732337e-18,0.11999754684983445,0.12001510808690449,false,Success,4.914611385396519,1.8981709095608512,3.016440475835668,0.09606948506662241,379847.3839587244,0.0,3.8490867471326005,244649.8842567639,0.0,3.828947755398252,Inf,0.0,3.853081748631363
1.011e-6,0.03162,3.7212678322567907e-19,0.12083589699028918,0.1208628260934336,false,Success,5.947525533948998,2.1567666068274494,3.7907589271215487,0.12028847559284145,Inf,0.0,4.665312851697976,Inf,0.0,4.665312851697976,Inf,0.0,4.665312851697976
1.011e-6,0.05623,1.1957081144385432e-19,0.12021717715330336,0.12007051169868256,false,Success,7.1578267936352935,2.4180064079564367,4.739820385678857,0.14956991249091664,Inf,0.0,5.609287309869361,Inf,0.0,5.609287309869361,Inf,0.0,5.609287309869361
1.312e-6,3.162e-8,2.665046324465043e-8,0.11999511228035839,0.11999511228035839,true,Success,1.3487215346226846,0.6658548902809053,0.6828666443417795,0.026696242267002464,4.0,1.1559824209607104,0.07957039048311745,4.0,1.1559824209607104,0.07957039048311745,4.0,1.1559824209607104,0.07957039048311745
1.312e-6,5.623e-8,1.9555613136322755e-8,0.11927841719375439,0.11927841719375439,true,Success,1.307443434153432,0.6477978374630114,0.6596455966904206,0.02578928677443984,4.0,1.1129329623575062,0.0784634709699644,4.0,1.1129329623575062,0.0784634709699644,4.0,1.1129329623575062,0.0784634709699644
1.312e-6,1.0e-7,1.1804198761855898e-8,0.11971589791381597,0.11971589791381597,true,Success,1.2951840329811304,0.6412178310805663,0.6539662019005641,0.025567450324120514,4.0,1.0945158241792305,0.07721797432255542,4.0,1.0945158241792305,0.07721797432255542,4.0,1.0945158241792305,0.07721797432255542
1.312e-6,1.778e-7,5.970401506703588e-9,0.1195001305973665,0.1195001305973665,true,Success,1.3244190747844269,0.6519572967270968,0.6724617780573301,0.026289865638918608,4.0,1.1132135048968157,0.07536392512541884,4.0,1.1132135048968157,0.07536392512541884,4.0,1.1132135048968157,0.07536392512541884
1.312e-6,3.162e-7,2.67731825811088e-9,0.11956419994285848,0.11956419994285848,true,Success,1.3716502294757988,0.6704822369840062,0.7011679924917927,0.027410982089663593,4.0,1.1490721143853604,0.07121021660041528,4.0,1.1490721143853604,0.07121021660041528,4.0,1.1490721143853604,0.07121021660041528
1.312e-6,5.623e-7,1.1105162224674902e-9,0.11978553735209396,0.11978553735209396,true,Success,1.418512279806562,0.6889356628704819,0.7295766169360799,0.02852033425370465,4.0,1.1849300860235048,0.06155823825610414,4.0,1.1849300860235048,0.06155823825610414,4.0,1.1849300860235048,0.06155823825610414
1.312e-6,1.0e-6,4.3711148365451427e-10,0.11982284720801865,0.11982284720801865,true,Success,1.4579069270032077,0.7045373687931578,0.7533695582100499,0.029449331919938558,4.0,1.214660680327629,0.051327769755478266,4.0,1.214660680327629,0.051327769755478266,4.0,1.214660680327629,0.051327769755478266
1.312e-6,1.778e-6,1.6600517112454738e-10,0.11985119550774531,0.11985119550774531,true,Success,1.49081998108368,0.7175215225366941,0.7732984585469858,0.03022737599746906,4.0,1.2388817644925705,0.04470627068597346,4.0,1.2388817644925705,0.04470627068597346,4.0,1.2388817644925705,0.04470627068597346
1.312e-6,3.162e-6,6.13865674086148e-11,0.11985733975174075,0.11985733975174075,true,Success,1.5185099534844642,0.7283249352485004,0.7901850182359637,0.030886584196054452,4.0,1.2579010305577025,0.038936719000366986,4.0,1.2579010305577025,0.038936719000366986,4.0,1.2579010305577025,0.038936719000366986
1.312e-6,5.623e-6,2.2253838290502105e-11,0.11982580900211852,0.11982580900211852,true,Success,1.5423611608175225,0.7375998853874614,0.8047612754300613,0.03145555893896514,4.0,1.2737216978228358,0.03456879172635897,4.0,1.2737216978228358,0.03456879172635897,4.0,1.2737216978228358,0.03456879172635897
